Version, Total, Open, Closed
13.0, 3, 1, 2
12.30, 1, 0, 1
12.4, 69, 45, 24
12.3, 107, 65, 42
12.2, 121, 71, 50
12.1, 94, 47, 47
12.0, 128, 65, 63
11.16, 1, 1, 0
11.15, 1, 1, 0
11.14, 1, 0, 1
11.6, 95, 58, 37
11.5, 131, 54, 77
11.4, 91, 25, 66
11.3, 148, 45, 103
11.2, 81, 14, 67
11.1, 26, 8, 18
11.0, 10, 1, 9
10.4, 37, 6, 31
10.3, 7, 2, 5
10.2, 8, 1, 7
10.1, 4, 4, 0
10.0, 7, 5, 2
9.5, 14, 3, 11
9.4, 5, 1, 4
9.2, 3, 1, 2
9.1, 1, 0, 1
8.4, 2, 1, 1
7.3, 1, 0, 1
4.6, 1, 0, 1
1.16, 1, 0, 1
0.11, 1, 1, 0
No Version, 417, 130, 287
