Grafana Bug Report
Date: 2026-04-01

## By Version
Version, Total, Open, Closed
13.0.0, 3, 1, 2
12.30.0, 1, 0, 1
12.4.2, 4, 4, 0
12.4.1, 23, 16, 7
12.4.0, 42, 25, 17
12.3.4, 3, 3, 0
12.3.3, 5, 3, 2
12.3.2, 13, 9, 4
12.3.1, 43, 27, 16
12.3.0, 43, 23, 20
12.2.1, 25, 18, 7
12.2.0, 96, 53, 43
12.1.4, 1, 0, 1
12.1.3, 1, 1, 0
12.1.1, 46, 25, 21
12.1.0, 46, 21, 25
12.0.8, 1, 1, 0
12.0.5, 2, 2, 0
12.0.4, 1, 1, 0
12.0.3, 3, 2, 1
12.0.2, 50, 33, 17
12.0.1, 32, 12, 20
12.0.0, 39, 14, 25
11.16.4, 1, 1, 0
11.15.1, 1, 1, 0
11.14.0, 1, 0, 1
11.6.9, 3, 2, 1
11.6.7, 3, 1, 2
11.6.6, 1, 1, 0
11.6.5, 1, 1, 0
11.6.4, 3, 2, 1
11.6.3, 8, 6, 2
11.6.2, 3, 3, 0
11.6.1, 18, 11, 7
11.6.0, 55, 31, 24
11.5.10, 1, 0, 1
11.5.3, 11, 6, 5
11.5.2, 60, 26, 34
11.5.1, 37, 18, 19
11.5.0, 22, 4, 18
11.4.5, 1, 1, 0
11.4.3, 1, 0, 1
11.4.2, 2, 1, 1
11.4.1, 2, 0, 2
11.4.0, 85, 23, 62
11.3.8, 2, 1, 1
11.3.7, 1, 0, 1
11.3.4, 1, 1, 0
11.3.3, 1, 0, 1
11.3.2, 13, 5, 8
11.3.1, 48, 17, 31
11.3.0, 82, 21, 61
11.2.8, 1, 0, 1
11.2.6, 1, 1, 0
11.2.5, 1, 0, 1
11.2.3, 4, 2, 2
11.2.2, 33, 5, 28
11.2.1, 10, 1, 9
11.2.0, 31, 5, 26
11.1.11, 1, 0, 1
11.1.8, 1, 1, 0
11.1.7, 1, 0, 1
11.1.5, 1, 0, 1
11.1.4, 5, 2, 3
11.1.3, 8, 2, 6
11.1.1, 1, 0, 1
11.1.0, 8, 3, 5
11.0.4, 1, 0, 1
11.0.0, 9, 1, 8
10.4.19, 2, 2, 0
10.4.18, 1, 0, 1
10.4.17, 1, 0, 1
10.4.15, 1, 1, 0
10.4.14, 1, 0, 1
10.4.12, 2, 0, 2
10.4.11, 2, 1, 1
10.4.10, 2, 0, 2
10.4.9, 1, 0, 1
10.4.7, 2, 0, 2
10.4.6, 2, 0, 2
10.4.5, 1, 0, 1
10.4.3, 5, 1, 4
10.4.2, 2, 0, 2
10.4.1, 11, 1, 10
10.4.0, 1, 0, 1
10.3.12, 1, 0, 1
10.3.6, 1, 0, 1
10.3.3, 3, 0, 3
10.3.1, 2, 2, 0
10.2.8, 1, 1, 0
10.2.7, 1, 0, 1
10.2.6, 1, 0, 1
10.2.3, 3, 0, 3
10.2.2, 2, 0, 2
10.1.5, 1, 1, 0
10.1.1, 2, 2, 0
10.1.0, 1, 1, 0
10.0.8, 1, 0, 1
10.0.3, 3, 2, 1
10.0.1, 2, 2, 0
10.0.0, 1, 1, 0
9.5.21, 2, 0, 2
9.5.18, 1, 0, 1
9.5.17, 1, 0, 1
9.5.16, 1, 1, 0
9.5.15, 2, 0, 2
9.5.7, 1, 0, 1
9.5.6, 1, 0, 1
9.5.2, 4, 2, 2
9.5.0, 1, 0, 1
9.4.17, 1, 0, 1
9.4.10, 1, 0, 1
9.4.3, 1, 0, 1
9.4.1, 1, 0, 1
9.4.0, 1, 1, 0
9.2.10, 2, 0, 2
9.2.3, 1, 1, 0
9.1.6, 1, 0, 1
8.4.3, 1, 0, 1
8.4.0, 1, 1, 0
7.3.6, 1, 0, 1
4.6.0, 1, 0, 1
1.16.1, 1, 0, 1
0.11.3, 1, 1, 0
No Version, 417, 130, 287


## Overall Stats
- Total Bugs Scanned: 2100
- Total Open Bugs: 842
- Total Closed Bugs: 1258
- Total Bugs with Version: 1200
- Total Bugs with Version (but not exact version): 483
